service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
21065,1,1,1,1,1,1,0,20190901,20270831
21456,1,0,1,0,1,0,0,20190901,20270831
21459,0,1,0,1,0,1,0,20190901,20270831
21463,0,0,0,0,0,0,1,20190901,20270831
21467,0,0,0,0,0,0,1,20190901,20270831
21477,0,0,0,0,0,1,1,20190901,20270831
21940,1,1,1,1,1,1,1,20241201,20291201
22090,1,1,1,1,1,0,0,20190901,20270831
26348,1,1,1,1,1,1,0,20190901,20270831
56103,1,1,1,1,1,1,1,20241116,20250328
56104,0,0,0,0,0,1,0,20241116,20250328
59390,1,1,1,1,1,1,1,20241201,20291201
67750,1,0,1,0,1,0,0,20190901,20270831
67751,0,1,0,1,0,1,0,20190901,20270831
72295,0,0,0,0,0,0,1,20160301,20241231
72477,0,0,0,0,0,1,0,20160301,20241231
72839,1,1,1,1,1,0,0,20160301,20241231
72910,0,0,1,0,0,0,0,20160301,20241231
82248,0,1,0,0,0,0,0,20160314,20241231
106943,1,1,1,1,1,0,0,20180101,20241231
106952,1,1,1,1,1,0,0,20180101,20241231
107011,1,1,1,1,1,0,0,20180101,20241231
108279,0,1,0,0,1,0,0,20180212,20241231
108281,0,1,0,0,1,0,0,20180212,20241231
109176,1,1,1,1,1,0,0,20180312,20241231
110808,0,0,0,0,0,0,1,20180701,20251223
111205,1,0,0,0,0,0,0,20180701,20251223
111206,1,0,0,0,0,0,0,20180701,20251223
111208,0,0,0,0,1,0,0,20180701,20251223
111209,0,0,0,0,1,0,0,20180701,20251223
111210,0,0,0,0,1,0,0,20180701,20251223
111222,0,1,0,0,1,0,0,20180701,20251223
112216,0,0,0,0,0,1,0,20180701,20251223
112217,0,0,0,0,0,1,0,20180701,20251223
112988,1,1,1,1,1,0,0,20180613,20241231
116745,1,1,1,1,1,0,0,20180901,20241231
117420,1,1,1,1,1,0,0,20190901,20270831
117696,1,1,1,1,1,1,0,20180901,20241231
119494,1,1,1,1,1,0,0,20181008,20241231
119546,0,1,0,1,0,0,0,20181008,20241231
123043,0,0,0,0,0,1,0,20181203,20241231
124921,1,1,1,1,1,0,0,20230101,20280630
126546,1,1,1,1,1,0,0,20190218,20241231
126574,0,0,0,0,0,1,1,20190218,20241231
126575,1,1,1,1,1,1,1,20190218,20241231
126576,1,1,1,1,1,0,1,20190218,20241231
128364,1,1,1,1,1,0,0,20190325,20241231
128822,1,1,1,1,1,0,0,20180901,20261231
128829,1,1,1,1,1,0,0,20180901,20261231
130156,1,1,1,1,1,1,1,20190506,20261231
130157,0,0,0,0,0,1,1,20190506,20261231
130175,1,1,1,1,1,0,0,20190506,20261231
130176,1,1,1,1,1,0,0,20190506,20261231
130314,1,1,1,1,1,0,0,20190501,20241231
130642,1,0,0,0,0,0,0,20190601,20251223
130643,0,1,1,1,1,0,0,20190601,20251223
130644,0,0,0,0,0,1,1,20190601,20251223
131377,0,1,0,0,0,0,0,20240915,20250514
131379,0,1,0,0,1,0,0,20240915,20250514
131380,0,0,0,0,1,0,0,20240915,20250514
131381,0,0,0,0,0,0,1,20240915,20250514
131382,0,1,0,0,1,0,0,20240915,20250514
131383,0,1,0,0,0,0,0,20240915,20250514
131385,0,0,0,0,1,0,0,20240915,20250514
131386,0,0,0,0,0,0,1,20240915,20250514
132291,0,0,0,0,1,0,0,20190610,20241231
132861,1,1,1,1,0,0,0,20220901,20270831
132870,0,0,0,0,1,0,0,20220901,20270831
132874,0,0,1,0,0,0,0,20190701,20241231
133024,0,1,0,0,0,0,0,20190701,20261231
133115,1,1,1,1,1,0,0,20190901,20270831
133241,1,1,1,1,1,0,0,20211101,20270831
133348,1,1,1,1,1,0,0,20220912,20270831
133749,1,1,1,1,1,1,0,20190901,20270831
133784,1,0,1,0,1,0,0,20200901,20270831
133818,1,1,1,1,1,1,0,20190901,20270831
133827,1,1,1,1,1,1,0,20200901,20270831
133903,0,0,0,0,0,0,1,20190901,20270831
133926,1,1,1,1,1,0,0,20221104,20270831
133931,0,0,0,0,0,1,0,20190901,20270831
133933,0,0,0,0,0,0,1,20190901,20270831
133943,0,0,0,0,0,0,1,20190901,20270831
133953,1,1,1,1,1,0,0,20190901,20270831
133961,1,1,1,1,1,0,0,20190901,20270831
134052,1,0,1,0,1,0,0,20190901,20270831
134055,0,1,0,1,0,1,0,20190901,20270831
134057,1,1,1,1,1,1,0,20230116,20270831
134300,1,1,1,1,1,1,0,20190901,20270831
134321,1,1,1,1,1,1,0,20190901,20270831
134335,1,1,1,1,1,1,0,20190901,20270831
134423,0,0,0,0,0,0,1,20190901,20270831
134460,0,1,0,0,1,0,0,20190901,20270831
134489,0,0,0,0,0,0,1,20190901,20270831
134634,1,1,1,1,1,1,0,20221114,20270831
134677,1,1,1,0,1,0,1,20190901,20270831
134691,0,0,0,0,0,1,0,20190901,20270831
134695,0,0,0,1,0,0,0,20190901,20270831
134706,1,1,1,1,1,1,0,20190901,20270831
134728,1,1,1,1,1,0,0,20190901,20270831
134760,1,1,1,1,1,1,0,20200901,20270831
134771,0,0,0,0,0,0,1,20190901,20270831
135189,1,1,1,1,1,1,0,20190901,20270831
135303,1,1,1,1,1,1,0,20200901,20270831
135333,0,0,0,0,0,0,1,20190901,20270831
135531,1,1,1,1,1,1,0,20190901,20270831
135547,1,1,1,1,1,1,0,20200901,20270831
135568,1,1,1,1,1,0,0,20190901,20270831
135595,1,1,1,1,1,1,1,20190901,20270831
135600,1,1,1,1,1,1,1,20190901,20270831
135629,1,1,1,1,1,1,1,20221201,20270831
135631,0,0,0,0,0,1,1,20190901,20270831
135632,0,0,0,0,0,1,1,20190901,20270831
135761,1,1,1,1,1,1,1,20190901,20270831
135877,0,0,0,0,0,0,1,20190901,20291031
136441,0,0,0,0,0,0,1,20190901,20241231
137245,0,1,0,0,0,0,0,20241101,20250228
137246,0,1,0,0,1,0,1,20241101,20250228
137247,0,0,0,0,1,0,0,20241101,20250228
138394,1,1,1,1,1,1,0,20191001,20290930
138406,1,1,1,1,1,0,0,20191001,20290930
138407,1,1,1,1,1,0,0,20191001,20290930
138587,1,1,1,1,1,1,0,20200901,20270831
138635,1,1,1,1,1,0,0,20191014,20290930
139120,1,1,1,1,1,0,0,20240901,20270831
139129,0,0,0,0,1,0,0,20191028,20270831
139130,1,1,1,1,0,0,0,20191028,20270831
139262,1,1,1,1,1,0,0,20191028,20270831
139267,1,1,1,1,1,0,0,20191028,20270831
139268,1,1,1,1,1,0,0,20191028,20270831
139917,1,1,1,1,1,0,0,20220901,20270831
140282,1,1,1,1,1,0,0,20191118,20250621
140286,1,1,1,1,1,0,0,20191118,20250621
140287,1,1,1,1,1,0,0,20230901,20250621
141068,1,1,1,1,1,1,1,20191125,20251223
141772,1,1,1,1,1,1,1,20241224,20241224
142345,0,0,0,1,0,0,0,20200101,20270831
142360,1,1,1,1,1,1,0,20200101,20270831
