fare_id,route_id,origin_id,destination_id
1,748cb45a7228434ca9ff97c559f6f340,139934,30633
1,748cb45a7228434ca9ff97c559f6f340,32339,21834
2,748cb45a7228434ca9ff97c559f6f340,31912,116144
3,748cb45a7228434ca9ff97c559f6f340,32329,21842
4,748cb45a7228434ca9ff97c559f6f340,32495,26619
5,748cb45a7228434ca9ff97c559f6f340,32495,26279
1,748cb45a7228434ca9ff97c559f6f340,32268,25994
6,748cb45a7228434ca9ff97c559f6f340,32495,31912
6,748cb45a7228434ca9ff97c559f6f340,154360,25783
1,748cb45a7228434ca9ff97c559f6f340,106881,25823
7,748cb45a7228434ca9ff97c559f6f340,21834,116144
1,748cb45a7228434ca9ff97c559f6f340,25989,25994
1,748cb45a7228434ca9ff97c559f6f340,32272,24957
5,748cb45a7228434ca9ff97c559f6f340,114421,152904
8,748cb45a7228434ca9ff97c559f6f340,139934,25823
9,748cb45a7228434ca9ff97c559f6f340,93570,114421
1,748cb45a7228434ca9ff97c559f6f340,116556,106881
10,748cb45a7228434ca9ff97c559f6f340,32175,30606
11,748cb45a7228434ca9ff97c559f6f340,32678,30606
12,748cb45a7228434ca9ff97c559f6f340,24964,106880
1,748cb45a7228434ca9ff97c559f6f340,106878,106880
13,748cb45a7228434ca9ff97c559f6f340,154360,32175
14,748cb45a7228434ca9ff97c559f6f340,26619,116144
5,748cb45a7228434ca9ff97c559f6f340,32692,24783
1,748cb45a7228434ca9ff97c559f6f340,106879,106881
1,748cb45a7228434ca9ff97c559f6f340,30631,32570
1,748cb45a7228434ca9ff97c559f6f340,21842,25823
15,748cb45a7228434ca9ff97c559f6f340,32329,25823
7,748cb45a7228434ca9ff97c559f6f340,24964,25783
16,748cb45a7228434ca9ff97c559f6f340,106878,25783
1,748cb45a7228434ca9ff97c559f6f340,106881,21842
17,748cb45a7228434ca9ff97c559f6f340,21832,32570
1,748cb45a7228434ca9ff97c559f6f340,154360,32339
18,748cb45a7228434ca9ff97c559f6f340,32329,30633
1,748cb45a7228434ca9ff97c559f6f340,116144,30606
8,748cb45a7228434ca9ff97c559f6f340,154360,106880
1,748cb45a7228434ca9ff97c559f6f340,21832,106878
1,748cb45a7228434ca9ff97c559f6f340,31922,32570
19,748cb45a7228434ca9ff97c559f6f340,30119,26279
20,748cb45a7228434ca9ff97c559f6f340,139934,21842
21,748cb45a7228434ca9ff97c559f6f340,24957,31912
22,748cb45a7228434ca9ff97c559f6f340,30119,26619
1,748cb45a7228434ca9ff97c559f6f340,25783,30606
5,748cb45a7228434ca9ff97c559f6f340,32272,25989
1,748cb45a7228434ca9ff97c559f6f340,24964,32175
23,748cb45a7228434ca9ff97c559f6f340,24957,26279
24,748cb45a7228434ca9ff97c559f6f340,93570,21834
7,748cb45a7228434ca9ff97c559f6f340,24957,26619
20,748cb45a7228434ca9ff97c559f6f340,30119,31912
1,748cb45a7228434ca9ff97c559f6f340,25044,25192
5,748cb45a7228434ca9ff97c559f6f340,32272,32268
20,748cb45a7228434ca9ff97c559f6f340,25786,32570
25,748cb45a7228434ca9ff97c559f6f340,30119,31922
26,748cb45a7228434ca9ff97c559f6f340,32495,106879
19,748cb45a7228434ca9ff97c559f6f340,32339,30606
1,748cb45a7228434ca9ff97c559f6f340,30119,21832
1,748cb45a7228434ca9ff97c559f6f340,24783,25192
6,748cb45a7228434ca9ff97c559f6f340,32495,116556
27,748cb45a7228434ca9ff97c559f6f340,24957,30631
28,748cb45a7228434ca9ff97c559f6f340,32495,25786
1,748cb45a7228434ca9ff97c559f6f340,26279,152904
1,748cb45a7228434ca9ff97c559f6f340,30606,32570
6,748cb45a7228434ca9ff97c559f6f340,30119,30631
14,748cb45a7228434ca9ff97c559f6f340,93571,32175
5,748cb45a7228434ca9ff97c559f6f340,24957,31922
29,748cb45a7228434ca9ff97c559f6f340,26619,152904
1,748cb45a7228434ca9ff97c559f6f340,24957,21832
30,748cb45a7228434ca9ff97c559f6f340,30633,25823
14,748cb45a7228434ca9ff97c559f6f340,106880,30606
5,748cb45a7228434ca9ff97c559f6f340,32692,32268
29,748cb45a7228434ca9ff97c559f6f340,21830,25192
16,748cb45a7228434ca9ff97c559f6f340,32678,21834
18,748cb45a7228434ca9ff97c559f6f340,31912,152904
5,748cb45a7228434ca9ff97c559f6f340,32692,25989
31,748cb45a7228434ca9ff97c559f6f340,106879,32570
5,748cb45a7228434ca9ff97c559f6f340,32495,25994
4,748cb45a7228434ca9ff97c559f6f340,114421,116144
26,748cb45a7228434ca9ff97c559f6f340,116556,32570
22,748cb45a7228434ca9ff97c559f6f340,32329,24964
17,748cb45a7228434ca9ff97c559f6f340,93571,25783
27,748cb45a7228434ca9ff97c559f6f340,21834,152904
1,748cb45a7228434ca9ff97c559f6f340,32692,24957
10,748cb45a7228434ca9ff97c559f6f340,93571,106880
1,748cb45a7228434ca9ff97c559f6f340,93571,32339
5,748cb45a7228434ca9ff97c559f6f340,24957,25994
1,748cb45a7228434ca9ff97c559f6f340,30633,21842
15,748cb45a7228434ca9ff97c559f6f340,30119,25994
24,748cb45a7228434ca9ff97c559f6f340,21830,25044
32,748cb45a7228434ca9ff97c559f6f340,32495,21832
5,748cb45a7228434ca9ff97c559f6f340,32272,24783
9,748cb45a7228434ca9ff97c559f6f340,30119,106879
5,748cb45a7228434ca9ff97c559f6f340,32495,31922
1,748cb45a7228434ca9ff97c559f6f340,21832,139934
20,748cb45a7228434ca9ff97c559f6f340,30119,116556
33,748cb45a7228434ca9ff97c559f6f340,24957,25786
5,748cb45a7228434ca9ff97c559f6f340,32495,30631
30,748cb45a7228434ca9ff97c559f6f340,21832,106881
21,748cb45a7228434ca9ff97c559f6f340,24957,116556
5,748cb45a7228434ca9ff97c559f6f340,93570,30606
7,748cb45a7228434ca9ff97c559f6f340,30119,25786
22,748cb45a7228434ca9ff97c559f6f340,24957,106879
1,748cb45a7228434ca9ff97c559f6f340,32678,114421
1,748cb45a7228434ca9ff97c559f6f340,21834,106881
34,748cb45a7228434ca9ff97c559f6f340,24964,30633
1,748cb45a7228434ca9ff97c559f6f340,106878,30633
1,748cb45a7228434ca9ff97c559f6f340,25786,116144
4,748cb45a7228434ca9ff97c559f6f340,24957,25044
5,748cb45a7228434ca9ff97c559f6f340,32495,25192
24,748cb45a7228434ca9ff97c559f6f340,106880,24783
1,748cb45a7228434ca9ff97c559f6f340,31912,106881
10,748cb45a7228434ca9ff97c559f6f340,32329,32175
33,748cb45a7228434ca9ff97c559f6f340,30119,25044
28,748cb45a7228434ca9ff97c559f6f340,32339,24783
27,748cb45a7228434ca9ff97c559f6f340,21830,25994
1,748cb45a7228434ca9ff97c559f6f340,21834,139934
21,748cb45a7228434ca9ff97c559f6f340,32495,21830
1,748cb45a7228434ca9ff97c559f6f340,26619,106881
